Iteration,Discriminator Loss,Generator Loss
3860,0.787592,1.228754
3870,0.489259,0.120818
3880,0.589460,0.874440
3890,0.555468,0.312436
3900,0.735429,1.468480
3910,0.844137,0.207736
3920,0.763158,0.171804
3930,0.801201,0.091773
3940,0.581044,0.405657
3950,0.513658,0.241107
3960,0.923146,0.324376
3970,0.510139,0.134066
3980,0.498415,1.904602
3990,0.488137,0.757531
4000,0.516998,1.999733
4010,0.479587,0.094047
4020,0.605301,1.935837
4030,0.538001,0.094216
4040,0.602369,0.337532
4050,2.590903,0.123068
4060,1.059083,0.788256
4070,0.338697,0.091157
4080,0.675777,0.317878
4090,0.213329,0.077873
4100,0.420286,0.034228
4110,0.663566,0.561043
4120,0.307839,0.041057
4130,1.333761,0.014503
4140,4.456949,0.038929
4150,0.381626,1.107549
4160,1.645422,0.030278
4170,2.300111,0.350005
4180,1.329314,0.048464
4190,1.013815,1.261296
4200,1.083445,0.511295
4210,0.960054,0.224254
4220,0.800234,1.221647
4230,0.903721,0.262619
4240,0.663683,0.809992
4250,0.565902,0.058900
4260,0.804149,1.442336
4270,0.736899,0.117032
4280,0.510350,0.119684
4290,0.426140,1.126218
4300,0.392272,2.662480
4310,0.823486,0.808255
4320,0.654061,0.490506
4330,0.717277,0.039209
4340,0.502925,0.281983
4350,0.710036,0.054908
4360,0.458354,0.149044
4370,0.418062,0.222837
4380,0.298193,1.704177
4390,0.387057,0.303959
4400,0.568927,0.217119
4410,0.440716,0.294464
4420,0.262408,0.105718
4430,0.680521,0.638227
4440,0.295211,0.109677
4450,0.607687,0.213813
4460,0.518071,1.983505
4470,0.339765,0.192728
4480,1.099751,0.413038
4490,0.660895,0.607485
4500,0.499448,0.084214
4510,0.496459,0.122520
4520,0.507489,0.099087
4530,0.490799,0.081385
4540,0.597989,0.045029
4550,0.485747,0.138726
4560,0.499752,0.024078
4570,0.314778,0.029819
4580,0.260506,5.033952
4590,0.353346,0.751620
4600,0.637682,0.979615
4610,0.470087,0.034022
4620,0.365906,2.701467
4630,0.327395,0.185240
4640,0.715810,0.029358
4650,0.122650,0.057028
4660,2.184969,0.077128
4670,0.099280,3.912776
4680,0.000214,11.339363
4690,0.000002,10.899761
4700,1.263135,1.049096
4710,0.950786,0.856763
4720,1.172498,1.041397
4730,1.058333,0.286401
4740,0.922452,0.858627
4750,0.582648,0.373769
4760,0.364472,0.135645
4770,0.349150,0.147052
4780,0.324594,0.163794
4790,0.362041,0.084710
4800,0.251340,0.177615
4810,0.242035,0.150728
4820,0.238603,0.176692
4830,0.484145,0.538532
4840,2.158859,0.087852
4850,1.237592,0.113205
4860,0.212263,0.074555
4870,0.705179,0.270535
4880,0.726487,0.139316
4890,0.954144,0.715401
4900,1.036909,0.291447
4910,0.344853,0.063260
4920,0.723398,0.255464
4930,0.829335,0.753591
4940,0.960137,0.731387
4950,0.800013,0.672107
4960,0.694728,2.355632
4970,2.404156,0.609985
4980,0.733678,0.153557
4990,1.377618,4.000282
5000,1.022905,1.528231
